Final Publication Year	Count	Country	Field
2026	108	USA	Evolution
2025	18220	USA	Evolution
2024	24534	USA	Evolution
2023	23591	USA	Evolution
2022	25140	USA	Evolution
2021	26670	USA	Evolution
2020	26704	USA	Evolution
2019	26426	USA	Evolution
2018	24727	USA	Evolution
2017	23998	USA	Evolution
2016	22977	USA	Evolution
2015	21856	USA	Evolution
2014	20950	USA	Evolution
2013	19789	USA	Evolution
2012	19322	USA	Evolution
2011	17933	USA	Evolution
2010	17357	USA	Evolution
2009	16901	USA	Evolution
2008	15559	USA	Evolution
2007	15273	USA	Evolution
2006	14237	USA	Evolution
2005	13316	USA	Evolution
2004	12715	USA	Evolution
2003	11688	USA	Evolution
2002	10521	USA	Evolution
2001	10320	USA	Evolution
2000	9662	USA	Evolution
1999	8995	USA	Evolution
1998	8664	USA	Evolution
1997	6413	USA	Evolution
1996	5875	USA	Evolution
1995	5075	USA	Evolution
1994	4871	USA	Evolution
1993	4391	USA	Evolution
1992	4152	USA	Evolution
1991	4007	USA	Evolution
1990	1819	USA	Evolution
1989	1558	USA	Evolution
1988	1350	USA	Evolution
1987	1375	USA	Evolution
1986	1345	USA	Evolution
1985	1193	USA	Evolution
1984	1253	USA	Evolution
1983	1098	USA	Evolution
1982	1019	USA	Evolution
1981	1016	USA	Evolution
1980	921	USA	Evolution
1979	863	USA	Evolution
1978	773	USA	Evolution
1977	517	USA	Evolution
1976	437	USA	Evolution
1975	136	USA	Evolution
1974	130	USA	Evolution
1973	118	USA	Evolution
1972	19	USA	Evolution
1971	2	USA	Evolution
1970	6	USA	Evolution
1967	1	USA	Evolution
1966	2	USA	Evolution
1960	1	USA	Evolution
1954	1	USA	Evolution
1951	1	USA	Evolution
1944	15	USA	Evolution
1943	24	USA	Evolution
1942	21	USA	Evolution
1941	16	USA	Evolution
1940	15	USA	Evolution
1939	19	USA	Evolution
1938	23	USA	Evolution
1937	12	USA	Evolution
1936	19	USA	Evolution
1935	23	USA	Evolution
1934	19	USA	Evolution
1933	15	USA	Evolution
1932	13	USA	Evolution
1931	11	USA	Evolution
1930	13	USA	Evolution
1929	10	USA	Evolution
1928	8	USA	Evolution
1927	10	USA	Evolution
1926	11	USA	Evolution
1925	12	USA	Evolution
1924	8	USA	Evolution
1923	3	USA	Evolution
1922	7	USA	Evolution
1921	5	USA	Evolution
1920	4	USA	Evolution
1919	2	USA	Evolution
1918	6	USA	Evolution
1917	8	USA	Evolution
1916	8	USA	Evolution
1915	4	USA	Evolution
1914	2	USA	Evolution
1912	2	USA	Evolution
1911	3	USA	Evolution
1910	4	USA	Evolution
1909	3	USA	Evolution
1908	2	USA	Evolution
1907	2	USA	Evolution
1906	3	USA	Evolution
1905	6	USA	Evolution
1904	2	USA	Evolution
1903	4	USA	Evolution
1901	5	USA	Evolution
1900	1	USA	Evolution
2027	1	USA	All
2026	1985	USA	All
2025	507939	USA	All
2024	753377	USA	All
2023	765011	USA	All
2022	785586	USA	All
2021	819783	USA	All
2020	828440	USA	All
2019	831473	USA	All
2018	765839	USA	All
2017	751740	USA	All
2016	730049	USA	All
2015	697292	USA	All
2014	688236	USA	All
2013	661501	USA	All
2012	644445	USA	All
2011	618054	USA	All
2010	600947	USA	All
2009	589173	USA	All
2008	561762	USA	All
2007	545705	USA	All
2006	527802	USA	All
2005	503389	USA	All
2004	490348	USA	All
2003	463860	USA	All
2002	441666	USA	All
2001	426733	USA	All
2000	435850	USA	All
1999	418149	USA	All
1998	424277	USA	All
1997	316063	USA	All
1996	282934	USA	All
1995	270130	USA	All
1994	264407	USA	All
1993	250327	USA	All
1992	244504	USA	All
1991	242410	USA	All
1990	261494	USA	All
1989	253829	USA	All
1988	250391	USA	All
1987	240576	USA	All
1986	240048	USA	All
1985	233041	USA	All
1984	231116	USA	All
1983	224339	USA	All
1982	222247	USA	All
1981	211889	USA	All
1980	201770	USA	All
1979	193979	USA	All
1978	177552	USA	All
1977	78973	USA	All
1976	58773	USA	All
1975	32512	USA	All
1974	47374	USA	All
1973	46775	USA	All
1972	4675	USA	All
1971	622	USA	All
1970	1051	USA	All
1969	213	USA	All
1968	259	USA	All
1967	283	USA	All
1966	209	USA	All
1965	119	USA	All
1964	6	USA	All
1963	3	USA	All
1962	5	USA	All
1960	131	USA	All
1959	3	USA	All
1958	3	USA	All
1957	1	USA	All
1956	4	USA	All
1955	706	USA	All
1954	576	USA	All
1953	620	USA	All
1952	542	USA	All
1951	516	USA	All
1950	534	USA	All
1949	471	USA	All
1948	276	USA	All
1947	376	USA	All
1946	316	USA	All
1945	348	USA	All
1944	7351	USA	All
1943	8509	USA	All
1942	9657	USA	All
1941	10008	USA	All
1940	9678	USA	All
1939	9498	USA	All
1938	9201	USA	All
1937	8648	USA	All
1936	8654	USA	All
1935	8247	USA	All
1934	7897	USA	All
1933	7569	USA	All
1932	6857	USA	All
1931	6600	USA	All
1930	6771	USA	All
1929	5911	USA	All
1928	5682	USA	All
1927	5257	USA	All
1926	4743	USA	All
1925	4528	USA	All
1924	4128	USA	All
